layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_attn_post,N_neg,scalar,50000,0.7448921082995033,0.04859282065257098,0.062361404827404036,0.8630773988956277,0.8615719434427088,
mlp_post_01_linear_post,N_neg,scalar,50000,0.6978452347592816,0.05290403058346049,0.06786856508222185,0.835371364999329,0.8357816495022168,
mlp_post_03_ln_pre,N_neg,scalar,50000,0.6705475269999052,0.05510985970268563,0.07086802491704067,0.8188702759679631,0.8177107929628925,
mlp_post_03_ln_post,N_neg,scalar,50000,0.6672337792518463,0.055411207924240605,0.07122354081989013,0.8168444786001704,0.8165817816868247,
mlp_post_05_linear_pre,N_neg,scalar,50000,0.6672337792518463,0.055411207924240605,0.07122354081989013,0.8168444786001704,0.8165817816868247,
mlp_post_05_linear_post,N_neg,scalar,50000,0.6251423536124783,0.058175855064911255,0.07559396587854118,0.7906594879072978,0.7909136827871496,
mlp_post_07_linear_pre,N_neg,scalar,50000,0.6148732593098611,0.05893756904447828,0.07662240518005185,0.7841388765257353,0.7826934888804695,
mlp_post_07_linear_post,N_neg,scalar,50000,0.5977765449843337,0.05970499408084299,0.0783046656183246,0.7731601134094401,0.7718375680972791,
enc_01_post,N_neg,scalar,50000,0.5933025937927259,0.06270961564237774,0.0787389546190922,0.770284194388817,0.7687148580324461,
mlp_post_09_linear_post,N_neg,scalar,50000,0.5780018263711788,0.06039480105914753,0.08020643788342402,0.7602643145215928,0.7617660660284458,
enc_00_post,N_neg,scalar,50000,0.45568472247729275,0.07295978475745121,0.09109178349705642,0.6750767066972305,0.6716392405160158,
enc_00_post,S_rho_bits,scalar,50000,0.9914145781892427,0.027480963381851506,0.03392602751559331,0.9956987198174482,0.8783273927849213,
mlp_fe0_post,S_rho_bits,scalar,50000,0.9545064072377973,0.06209958006301533,0.07809573365313671,0.9769884453926393,0.8566294695683803,
mlp_fe0_pre,S_rho_bits,scalar,50000,0.9545063786325575,0.06209937973961804,0.07809575820546052,0.9769884312514798,0.8566276917069463,
mlp_in_post,S_rho_bits,scalar,50000,0.9545063786325575,0.06209937973961804,0.07809575820546052,0.9769884312514798,0.8566276917069463,
enc_03_post,S_rho_bits,scalar,50000,0.9544447150080947,0.062152621204264596,0.07814866712583131,0.9769568727167766,0.8566350408640964,
mlp_in_pre,S_rho_bits,scalar,50000,0.9544447150080947,0.062152621204264596,0.07814866712583131,0.9769568727167766,0.8566350408640964,
enc_02_post,S_rho_bits,scalar,50000,0.9508622844292384,0.06503409158090623,0.08116329546944787,0.9751216894219867,0.8587425219508441,
enc_01_post,S_rho_bits,scalar,50000,0.9443460951335418,0.0685880088316094,0.08637737703093133,0.971777715416928,0.8600269946966426,
mlp_post_00_ln_post,S_rho_bits,scalar,50000,0.9290761780175688,0.07613186336771083,0.09750979801601864,0.963886093366771,0.843038156727548,
mlp_post_01_linear_pre,S_rho_bits,scalar,50000,0.9290761780175688,0.07613186336771083,0.09750979801601864,0.963886093366771,0.843038156727548,
mlp_post_00_ln_pre,S_rho_bits,scalar,50000,0.9269165522980686,0.07658281503725316,0.09898324897682789,0.9627651822985415,0.8407137679916694,
mlp_fe2_post,S_rho_bits,scalar,50000,0.9269153877196981,0.07658837676933557,0.09898403761840957,0.9627646001552905,0.84071015780337,
mlp_fe2_pre,S_rho_bits,scalar,50000,0.9266566234764966,0.07818961016776825,0.09915911481278053,0.9626301874933106,0.8441591318471882,
mlp_attn_post,S_rho_bits,scalar,50000,0.9245716995142802,0.07757787209455907,0.10055863106962089,0.9615469491611635,0.839272496425736,
mlp_post_01_linear_post,S_rho_bits,scalar,50000,0.9010894302630121,0.09047470376128898,0.11515254559136469,0.9492573064850361,0.833323422903526,
mlp_post_03_ln_pre,S_rho_bits,scalar,50000,0.8375667591721351,0.1127503812594028,0.14756713513118647,0.9151869121497205,0.8030731935968983,
mlp_post_03_ln_post,S_rho_bits,scalar,50000,0.8302801696938567,0.11639146444976335,0.1508406814473127,0.9111973557553368,0.8008003753408035,
mlp_post_05_linear_pre,S_rho_bits,scalar,50000,0.8302801696938567,0.11639146444976335,0.1508406814473127,0.9111973557553368,0.8008003753408035,
mlp_post_05_linear_post,S_rho_bits,scalar,50000,0.7837712945876403,0.13214638054206995,0.17025852449988463,0.8853091504430005,0.784909211432834,
mlp_post_07_linear_pre,S_rho_bits,scalar,50000,0.755838144723436,0.13850230324778728,0.18092188312431154,0.8693895328627497,0.7734299589864084,
mlp_post_07_linear_post,S_rho_bits,scalar,50000,0.6397388214045958,0.16649536861356548,0.21976621276540198,0.79983687468416,0.7093866538245392,
mlp_post_09_linear_post,S_rho_bits,scalar,50000,0.5040031595008938,0.21193587037153527,0.2578645528700056,0.7099317995514285,0.6650842966260115,
enc_02_post,T_corr,mat3x3,50000,0.9177708572383847,0.0856493590057557,0.1100090972492334,,,0.3243661579561524
mlp_fe0_post,T_corr,mat3x3,50000,0.8951295087508283,0.09751348485139812,0.1251986357946522,,,0.3664141813168598
mlp_fe0_pre,T_corr,mat3x3,50000,0.8951294387193575,0.09751424225366158,0.12519867029284157,,,0.36641619916217444
mlp_in_post,T_corr,mat3x3,50000,0.8951294387193575,0.09751424225366158,0.12519867029284157,,,0.36641619916217444
enc_03_post,T_corr,mat3x3,50000,0.8950650398103749,0.09755042877852246,0.12524142092913004,,,0.36655206118936917
mlp_in_pre,T_corr,mat3x3,50000,0.8950650398103749,0.09755042877852246,0.12524142092913004,,,0.36655206118936917
enc_01_post,T_corr,mat3x3,50000,0.7536587838781852,0.14830594731743785,0.18853802141567746,,,0.5651424823359685
mlp_fe2_pre,T_corr,mat3x3,50000,0.707712580950464,0.17081698791652541,0.21538184896294874,,,0.6290948245632326
mlp_post_00_ln_post,T_corr,mat3x3,50000,0.6803365162185461,0.17905139300678208,0.2254460307460291,,,0.6575714461286147
mlp_post_01_linear_pre,T_corr,mat3x3,50000,0.6803365162185461,0.17905139300678208,0.2254460307460291,,,0.6575714461286147
mlp_post_00_ln_pre,T_corr,mat3x3,50000,0.6778098828309772,0.17982396520816513,0.22637128051799849,,,0.6596558694629964
mlp_fe2_post,T_corr,mat3x3,50000,0.6778050435643308,0.17982129091111193,0.22637293874021472,,,0.659655685628288
mlp_attn_post,T_corr,mat3x3,50000,0.6585313113176698,0.1853290504348893,0.23314493508351491,,,0.6793947957645411
mlp_post_01_linear_post,T_corr,mat3x3,50000,0.4874782752298335,0.2294666984820458,0.28692875100113424,,,0.835747606074905
enc_00_post,T_corr,mat3x3,50000,0.4576500574812497,0.2313625704792428,0.28826624306817256,,,0.8529628424896116
mlp_post_03_ln_pre,T_corr,mat3x3,50000,0.33737449409518094,0.2628011185388362,0.32670203510629153,,,0.9539183463651697
mlp_post_03_ln_post,T_corr,mat3x3,50000,0.31808090747812884,0.26731917134060545,0.3314381834711059,,,0.9685684970264072
mlp_post_05_linear_pre,T_corr,mat3x3,50000,0.31808090747812884,0.26731917134060545,0.3314381834711059,,,0.9685684970264072
mlp_post_05_linear_post,T_corr,mat3x3,50000,0.1456769690771165,0.3027780558885094,0.3710168535521555,,,1.085477714562766
mlp_post_07_linear_pre,T_corr,mat3x3,50000,0.10881320353742495,0.3096561849783501,0.378945210284354,,,1.1082275698030357
mlp_post_07_linear_post,T_corr,mat3x3,50000,0.05164228948070309,0.32083229009061487,0.39093516283248075,,,1.14459464302811
mlp_post_09_linear_post,T_corr,mat3x3,50000,-4.198759679310518e-05,0.3311009947843783,0.40148081720324974,,,1.1778711459225188
mlp_fe0_post,T_fro_norm,scalar,50000,0.8478589467426786,0.07755627650783292,0.09812999645076274,0.9207926690296663,0.9261232406969134,
mlp_fe0_pre,T_fro_norm,scalar,50000,0.8478587019742715,0.07755685036677623,0.09813007538775163,0.9207925450054413,0.9261237884710897,
mlp_in_post,T_fro_norm,scalar,50000,0.8478587019742715,0.07755685036677623,0.09813007538775163,0.9207925450054413,0.9261237884710897,
enc_03_post,T_fro_norm,scalar,50000,0.8478335695152763,0.07755871213072427,0.09813818018337703,0.9207788973769292,0.9261118859875009,
mlp_in_pre,T_fro_norm,scalar,50000,0.8478335695152763,0.07755871213072427,0.09813818018337703,0.9207788973769292,0.9261118859875009,
enc_02_post,T_fro_norm,scalar,50000,0.8273678407560932,0.08349944509681133,0.10452963290156989,0.9095977520868864,0.9125431228248254,
mlp_fe2_pre,T_fro_norm,scalar,50000,0.8179492736820589,0.08470006771949402,0.10734326030794457,0.9044062467289291,0.9098137461819735,
mlp_post_00_ln_post,T_fro_norm,scalar,50000,0.8142314984250159,0.08586887401249917,0.10843378383854575,0.9023485997997692,0.9080451110936181,
mlp_post_01_linear_pre,T_fro_norm,scalar,50000,0.8142314984250159,0.08586887401249917,0.10843378383854575,0.9023485997997692,0.9080451110936181,
mlp_post_00_ln_pre,T_fro_norm,scalar,50000,0.8130107383085655,0.08607309880969924,0.1087894816079574,0.9016719069074172,0.9069566271861108,
mlp_fe2_post,T_fro_norm,scalar,50000,0.813008439569785,0.0860752480138242,0.10879015030366072,0.9016707862963322,0.9069653780284822,
mlp_attn_post,T_fro_norm,scalar,50000,0.8032120385240074,0.08841679055502798,0.1116035058070736,0.8962258181667215,0.9018365356110387,
mlp_post_01_linear_post,T_fro_norm,scalar,50000,0.7707350250166016,0.09567932893128157,0.12046126790881911,0.8779151641423453,0.8845602245718402,
mlp_post_03_ln_pre,T_fro_norm,scalar,50000,0.74302883815094,0.10071747388407562,0.12753246909547344,0.8619916108664887,0.8684445670718899,
mlp_post_03_ln_post,T_fro_norm,scalar,50000,0.7400250468881355,0.10135046031494228,0.12827568076620882,0.8602475988004854,0.8673892082499957,
